Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
LU,"Luton",336095,129149,10622,6388,0,51.8965,-0.509911
M,"Manchester",1167414,492884,59454,32118,2,53.4788,-2.2717
ME,"Rochester",606891,245786,22765,16836,0,51.3335,0.584832
MK,"Milton Keynes",508035,202926,23262,15865,0,52.0622,-0.666095
ML,"Motherwell",382997,168005,11920,9779,0,55.7765,-3.94423
N,"North London",847197,344938,29923,17537,177,51.5854,-0.114194
NE,"Newcastle upon Tyne",1162976,510229,45762,33548,1,55.0366,-1.64208
NG,"Nottingham",1163617,493228,37962,29344,0,53.0055,-1.07176
NN,"Northampton",653055,272356,25519,16699,0,52.2889,-0.840499
NP,"Newport",488569,206539,28252,13849,0,51.6727,-3.01554
NR,"Norwich",722618,315784,28708,23857,0,52.6458,1.33968
NW,"North West London",553732,222208,26099,14126,61,51.555,-0.197116
OL,"Oldham",462590,188194,17852,13132,0,53.5816,-2.12594
OX,"Oxford",613492,242551,35574,20255,0,51.7953,-1.29086
PA,"Paisley",321350,148778,13096,9462,1,56.0683,-4.90806
PE,"Peterborough",890470,373108,39666,27155,0,52.6268,-0.0454087
PH,"Perth",165118,73021,7511,6171,0,56.5626,-3.73417
PL,"Plymouth",543016,232152,22908,17813,0,50.4279,-4.32769
PO,"Portsmouth",822540,352453,33329,24315,1,50.8022,-1.03426
PR,"Preston",520366,219388,20422,13421,0,53.7231,-2.75213
RG,"Reading",778419,314408,46204,23595,0,51.4045,-1.02712
RH,"Redhill",531923,217143,24645,16247,0,51.1103,-0.207969
RM,"Romford",517305,205322,15515,9993,0,51.5468,0.217206
S,"Sheffield",1358186,578058,49932,34038,2,53.3935,-1.41166
SA,"Swansea",730075,315791,29519,23290,0,51.7605,-4.20656
SE,"South East London",988126,412444,35079,20780,186,51.4669,-0.0356602
SG,"Stevenage",402479,167182,17220,12057,0,51.9471,-0.15921
SK,"Stockport",603540,260549,25334,16584,0,53.3712,-2.09838
SL,"Slough",373407,144554,16804,10640,0,51.5152,-0.642131
SM,"Sutton",217171,87907,6752,4351,0,51.3628,-0.184404
SN,"Swindon",458798,191252,21762,14595,0,51.5059,-1.89377
SO,"Southampton",665472,276330,40507,18510,0,50.9299,-1.39154
SP,"Salisbury",232282,94658,11507,8683,0,51.1088,-1.77939
SR,"Sunderland",250843,109612,8879,6709,143,54.8766,-1.38959
SS,"Southend-on-Sea",518631,216682,17492,11949,0,51.5623,0.599435
ST,"Stoke-on-Trent",644416,275646,22851,17771,0,52.9773,-2.14621
SW,"South West London",877183,382790,37023,20044,0,51.464,-0.167491
SY,"Shrewsbury",341952,144660,17416,14564,1,52.6643,-3.04696
TA,"Taunton",322408,139414,15018,11961,0,51.0556,-3.06623
TD,"Galashiels",112644,52111,5288,4515,0,55.6151,-2.52397
TF,"Telford",212536,85637,9413,7110,0,52.7129,-2.46193
TN,"Tonbridge",681747,286228,33142,22987,0,51.0852,0.442318
TQ,"Torquay",281112,125365,13327,10061,0,50.459,-3.61617
TR,"Truro",294061,127803,15683,12378,0,50.2121,-5.2418
TS,"Cleveland",602320,256341,23166,17701,0,54.5849,-1.22409
TW,"Twickenham",491918,193508,20374,11059,2,51.4487,-0.389973
UB,"Southall",371413,126879,11696,7197,0,51.5276,-0.416893
W,"West London",531690,236493,40339,18624,0,51.5114,-0.193443
WA,"Warrington",616482,261804,25930,18277,0,53.3905,-2.59121
WC,"Central London",35745,15757,7477,2596,0,51.5176,-0.122523
WD,"Watford",256476,103336,16082,7396,1,51.6586,-0.393594
WF,"Wakefield",512784,214107,18562,14601,0,53.6855,-1.49578
WN,"Wigan",309156,131514,9295,7224,0,53.5344,-2.6373
WR,"Worcester",287838,122730,12753,8922,0,52.1632,-2.16899
WS,"Walsall",449728,181669,15059,10239,0,52.6496,-1.95686
WV,"Wolverhampton",396187,162933,14375,10554,105,52.5809,-2.16206
YO,"York",562761,242140,34819,18999,0,54.0451,-0.886615
ZE,"Lerwick",23086,9915,752,651,0,60.2193,-1.19859
GY, "Guernsey"
JE, "Jersey"
IM, "Isle of Man"

